               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080486,            0.024711,           0.0013043,             0.84711,             0.30344,             0.30469,             0.10795,            0.069789,            0.015147,          0.00086609,            0.070283,           0.0033019,           0.0033019
                   1,            0.079575,            0.019065,           0.0012765,             0.86187,             0.30951,             0.33815,             0.12535,            0.071283,            0.013446,           0.0010664,            0.038969,           0.0053214,           0.0053214
                   2,            0.080204,            0.018515,           0.0017437,             0.81111,             0.27175,             0.27883,            0.085898,            0.083528,            0.012395,           0.0012808,           0.0063355,            0.006021,            0.006021
                   3,            0.072149,            0.017765,           0.0014153,             0.90254,             0.34761,             0.36817,             0.13187,            0.069313,            0.012695,            0.001178,             0.00406,             0.00406,             0.00406
                   4,            0.069321,            0.017345,           0.0015973,             0.91467,             0.33985,             0.38379,             0.15799,            0.066389,            0.012173,           0.0011895,             0.00406,             0.00406,             0.00406
